car;price;city;year;base;engine;color;wheel;url;transmission
Volkswagen Multivan;9300000;Алматы;2008; минивэн;3.2; черный; левый руль;https://kolesa.kz//a/show/105581877; КПП автомат
Lexus LX 470;4900000;Алматы;1998; внедорожник;4.7; белый; левый руль;https://kolesa.kz//a/show/105168303; КПП автомат
Hyundai Trajet;3100000;Алматы;2000; минивэн;2.7; голубой; левый руль;https://kolesa.kz//a/show/103502834; КПП автомат
Mercedes-Benz E 230;2300000;Алматы;1996; седан;2.3; черный; левый руль;https://kolesa.kz//a/show/105648584; КПП механика
Audi Q8;45000000;Алматы;2020; кроссовер;3; синий; левый руль;https://kolesa.kz//a/show/105544860; КПП автомат
Volkswagen Golf;1300000;Алматы;1992; хэтчбек;1.8; синий; левый руль;https://kolesa.kz//a/show/105438362; КПП механика
Volkswagen Polo;4375000;Алматы;2015; седан;1.6; белый; левый руль;https://kolesa.kz//a/show/105393585; КПП автомат
Chevrolet Cruze;3300000;Алматы;2012; седан;1.8; серебристый; левый руль;https://kolesa.kz//a/show/98713714; КПП автомат
Nissan Terrano;5000000;Алматы;2014; кроссовер;2; синий; левый руль;https://kolesa.kz//a/show/105548376; КПП автомат
Audi A8;1350000;Алматы;1997; седан;3.7; серебристый; левый руль;https://kolesa.kz//a/show/105581778; КПП автомат
Audi Q8;41454000;Алматы;2020; внедорожник;3; белый; левый руль;https://kolesa.kz//a/show/101343278; КПП автомат
Audi Q8;40572000;Алматы;2020; внедорожник;3; оранжевый; левый руль;https://kolesa.kz//a/show/102737008; КПП автомат
Mercedes-Benz G 63 AMG;40000000;Алматы;2015; внедорожник;5.5; черный; левый руль;https://kolesa.kz//a/show/105690311; КПП автомат
Toyota Land Cruiser Prado;11000000;Алматы;2007; внедорожник;4; белый; левый руль;https://kolesa.kz//a/show/91184359; КПП автомат
Toyota Land Cruiser Prado;10700000;Алматы;2008; внедорожник;4; белый; левый руль;https://kolesa.kz//a/show/103326622; КПП автомат
Mitsubishi Pajero;3900000;Алматы;1997; внедорожник;3.5; синий; правый руль;https://kolesa.kz//a/show/105644228; КПП автомат
Audi Q7;28500000;Алматы;2017; кроссовер;3; синий; левый руль;https://kolesa.kz//a/show/104168987; КПП автомат
Hyundai Accent;5600000;Алматы;2019; седан;1.6; белый; левый руль;https://kolesa.kz//a/show/105045024; КПП типтроник
Toyota Camry;10400000;Алматы;2017; седан;2.5; белый; левый руль;https://kolesa.kz//a/show/105437162; КПП типтроник
BMW 750;6000000;Алматы;2006; седан;5; черный; левый руль;https://kolesa.kz//a/show/105548448; КПП типтроник
Toyota Land Cruiser Prado;13000000;Алматы;2012; внедорожник;2.7; белый; левый руль;https://kolesa.kz//a/show/105548457; КПП автомат
Audi A6;31967500;Алматы;2020; седан;2; серый; левый руль;https://kolesa.kz//a/show/100190392; КПП типтроник
Audi Q8;41454000;Алматы;2020; кроссовер;3; нет цвета; левый руль;https://kolesa.kz//a/show/102733643; КПП автомат
Isuzu Trooper;2300000;Алматы;1991; внедорожник;2.6; серый; левый руль;https://kolesa.kz//a/show/105721484; КПП механика
Toyota Land Cruiser Prado;17300000;Алматы;2017; внедорожник;2.7; белый; левый руль;https://kolesa.kz//a/show/105655161; КПП автомат
Toyota Corolla;4000000;Алматы;2008; седан;1.8; нет цвета; левый руль;https://kolesa.kz//a/show/105722752; КПП автомат
Toyota RAV 4;12750000;Алматы;2017; кроссовер;2.5; белый; левый руль;https://kolesa.kz//a/show/103980693; КПП автомат
Toyota Land Cruiser;25800000;Алматы;2016; внедорожник;4.6; белый; левый руль;https://kolesa.kz//a/show/105495159; КПП автомат
Toyota Windom;1600000;Алматы;1996; седан;2.5; черный; правый руль;https://kolesa.kz//a/show/104251108; КПП автомат
Volkswagen Golf;2300000;Алматы;2002; хэтчбек;1.6; нет цвета; левый руль;https://kolesa.kz//a/show/105475880; КПП автомат
Kia Rio;4400000;Алматы;2015; седан;1.6; белый; левый руль;https://kolesa.kz//a/show/105552258; КПП автомат
Hyundai Galloper;2100000;Алматы;2001; внедорожник;2.5; серебристый; левый руль;https://kolesa.kz//a/show/105548316; КПП механика
Toyota Land Cruiser;19500000;Алматы;2013; внедорожник;4.6; черный; левый руль;https://kolesa.kz//a/show/105530306; КПП автомат
Toyota Camry;2680000;Алматы;1999; седан;3; золотистый; левый руль;https://kolesa.kz//a/show/105705699; КПП автомат
Audi A6 allroad;2800000;Алматы;2001; универсал;2.7; серебристый; левый руль;https://kolesa.kz//a/show/104977954; КПП вариатор
Mitsubishi Montero Sport;3200000;Алматы;2000; внедорожник;3; золотистый; левый руль;https://kolesa.kz//a/show/105702992; КПП автомат
Toyota Camry;14270000;Алматы;2019; седан;2.5; белый; левый руль;https://kolesa.kz//a/show/104654849; КПП автомат
Subaru Outback;3500000;Алматы;2005; универсал;2.5; серебристый; левый руль;https://kolesa.kz//a/show/105587953; КПП механика
Lexus ES 350;11000000;Алматы;2014; седан;3.5; черный; левый руль;https://kolesa.kz//a/show/105648305; КПП автомат
Audi Q7;7800000;Алматы;2007; кроссовер;3.6; белый; левый руль;https://kolesa.kz//a/show/105676712; КПП типтроник
Hyundai Tucson;9200000;Алматы;2018; кроссовер;1.6; белый; левый руль;https://kolesa.kz//a/show/105722421; КПП автомат
Toyota Corolla;7100000;Алматы;2016; седан;1.6; нет цвета; левый руль;https://kolesa.kz//a/show/102866606; КПП автомат
Mercedes-Benz S 65 AMG;12000000;Алматы;2008; седан;6.3; нет цвета; левый руль;https://kolesa.kz//a/show/105492470; КПП автомат
Honda HR-V;3000000;Алматы;2000; кроссовер;1.6; серебристый; левый руль;https://kolesa.kz//a/show/105581464; КПП вариатор
Volkswagen Polo;3100000;Алматы;2012; седан;1.6; нет цвета; левый руль;https://kolesa.kz//a/show/105685121; КПП механика
Mitsubishi Pajero Sport;8590000;Алматы;2015; внедорожник;2.5; белый; левый руль;https://kolesa.kz//a/show/100832864; КПП автомат
Lexus RX 350;10180000;Алматы;2010; кроссовер;3.5; коричневый; левый руль;https://kolesa.kz//a/show/105612511; КПП автомат
Mercedes-Benz E 260;950000;Алматы;1990; седан;2.6; нет цвета; левый руль;https://kolesa.kz//a/show/105366851; КПП автомат
Toyota RAV 4;1950000;Алматы;1994; кроссовер;2; зеленый; правый руль;https://kolesa.kz//a/show/105027150; КПП автомат
Toyota 4Runner;8600000;Алматы;2004; внедорожник;4; черный; левый руль;https://kolesa.kz//a/show/105547399; КПП типтроник
Nissan Patrol;10490000;Алматы;2012; внедорожник;5.6; нет цвета; левый руль;https://kolesa.kz//a/show/101466906; КПП автомат
Mercedes-Benz S 63 AMG;35000000;Алматы;2015; седан;5.5; черный; левый руль;https://kolesa.kz//a/show/105420793; КПП автомат
Toyota Windom;2200000;Алматы;1997; седан;2.5; зеленый; правый руль;https://kolesa.kz//a/show/105581522; КПП автомат
Mercedes-Benz E 320;2200000;Алматы;1990; седан;3.2; черный; левый руль;https://kolesa.kz//a/show/101838239; КПП автомат
Toyota RAV 4;2850000;Алматы;1996; кроссовер;2; белый; левый руль;https://kolesa.kz//a/show/105669933; КПП автомат
BMW 120;3600000;Алматы;2006; универсал;2; вишня; левый руль;https://kolesa.kz//a/show/105457288; КПП автомат
Kia Rio;3800000;Алматы;2012; седан;1.6; белый; левый руль;https://kolesa.kz//a/show/105403967; КПП автомат
FAW V80;2900000;Алматы;2014; фургон;1.5; белый; левый руль;https://kolesa.kz//a/show/105612472; КПП механика
Tesla Model S;30000000;Алматы;2018; седан;0.1; нет цвета; левый руль;https://kolesa.kz//a/show/105211387; КПП автомат
Lexus LX 570;22400000;Алматы;2014; внедорожник;5.7; белый; левый руль;https://kolesa.kz//a/show/105564572; КПП типтроник
Hyundai Elantra;6000000;Алматы;2015; седан;1.6; коричневый; левый руль;https://kolesa.kz//a/show/105581091; КПП типтроник
Nissan Teana;3650000;Алматы;2007; седан;3.5; черный; левый руль;https://kolesa.kz//a/show/105409374; КПП автомат
Mercedes-Benz E 240;3000000;Алматы;1999; седан;2.4; зеленый; левый руль;https://kolesa.kz//a/show/105299005; КПП автомат
Toyota Camry;4800000;Алматы;2005; седан;3; черный; левый руль;https://kolesa.kz//a/show/104802552; КПП автомат
