State,Started on,Completed,Time taken,Grade/10.00,Q. 1 /1.00,Q. 2 /1.00,Q. 3 /1.00,Q. 4 /1.00,Q. 5 /1.00,Q. 6 /1.00,Q. 7 /1.00,Q. 8 /1.00,Q. 9 /1.00,Q. 10 /1.00
Finished,24 September 2020  5:47 PM,24 September 2020  5:50 PM,2 mins 46 secs,10.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  12:58 PM,24 September 2020  1:04 PM,5 mins 58 secs,9.67,1.00,0.67,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  3:34 PM,24 September 2020  3:47 PM,12 mins 24 secs,9.5,0.50,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,23 September 2020  11:18 AM,23 September 2020  11:22 AM,3 mins 38 secs,5.5,0.00,0.00,0.5,1.0,0.0,1.00,0.00,1.0,1.0,1.0
Finished,24 September 2020  4:11 PM,24 September 2020  4:21 PM,10 mins 2 secs,10.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  3:16 PM,24 September 2020  3:30 PM,13 mins 34 secs,9.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,0.0
Finished,24 September 2020  5:10 PM,24 September 2020  5:27 PM,16 mins 35 secs,9.0,1.00,0.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,23 September 2020  10:01 PM,23 September 2020  10:12 PM,10 mins 45 secs,6.5,0.50,1.00,1.0,1.0,1.0,1.00,0.00,1.0,0.0,0.0
Finished,24 September 2020  3:09 PM,24 September 2020  3:11 PM,1 min 23 secs,8.92,1.00,0.67,0.25,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,23 September 2020  8:19 PM,23 September 2020  8:24 PM,4 mins 20 secs,10.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  5:03 PM,24 September 2020  5:14 PM,10 mins 49 secs,10.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  5:27 PM,24 September 2020  5:33 PM,5 mins 50 secs,7.33,1.00,0.33,1.0,1.0,1.0,0.00,1.00,1.0,0.0,1.0
Finished,24 September 2020  5:43 PM,24 September 2020  5:57 PM,13 mins 56 secs,10.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  4:05 PM,24 September 2020  4:15 PM,10 mins 28 secs,7.33,1.00,0.33,1.0,1.0,1.0,1.00,0.00,1.0,0.0,1.0
Finished,24 September 2020  4:29 PM,24 September 2020  4:42 PM,13 mins 30 secs,9.33,1.00,0.33,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,22 September 2020  11:44 PM,22 September 2020  11:45 PM,1 min 48 secs,2.75,1.00,0.00,0.75,0.0,0.0,0.00,0.00,1.0,0.0,0.0
Finished,24 September 2020  5:00 PM,24 September 2020  5:12 PM,12 mins 17 secs,10.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  5:28 PM,24 September 2020  5:36 PM,8 mins 27 secs,10.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  6:01 PM,24 September 2020  6:17 PM,16 mins 24 secs,6.67,0.00,0.67,1.0,1.0,1.0,1.00,1.00,0.0,0.0,1.0
Finished,24 September 2020  10:11 AM,24 September 2020  10:16 AM,5 mins 20 secs,9.5,0.50,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  4:48 PM,24 September 2020  4:53 PM,4 mins 14 secs,8.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,0.0,0.0
Finished,24 September 2020  5:37 PM,24 September 2020  5:41 PM,3 mins 55 secs,9.0,1.00,1.00,1.0,1.0,0.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  4:53 PM,24 September 2020  4:58 PM,4 mins 57 secs,10.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  3:36 PM,24 September 2020  3:48 PM,11 mins 7 secs,10.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  4:15 PM,24 September 2020  4:23 PM,8 mins,9.33,1.00,0.33,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  3:21 PM,24 September 2020  3:30 PM,9 mins 3 secs,7.58,1.00,0.33,0.25,1.0,1.0,1.00,1.00,1.0,1.0,0.0
Finished,24 September 2020  4:21 PM,24 September 2020  4:24 PM,2 mins 55 secs,9.67,1.00,0.67,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  12:40 PM,24 September 2020  12:43 PM,3 mins 1 sec,10.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,23 September 2020  11:43 AM,23 September 2020  11:51 AM,7 mins 49 secs,5.33,1.00,0.33,1.0,1.0,1.0,0.00,0.00,1.0,0.0,0.0
Finished,24 September 2020  6:00 PM,24 September 2020  6:02 PM,1 min 44 secs,9.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,0.0,1.0
Finished,24 September 2020  4:52 PM,24 September 2020  5:04 PM,11 mins 45 secs,9.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,0.0
Finished,24 September 2020  4:22 PM,24 September 2020  4:37 PM,14 mins 50 secs,10.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  5:36 PM,24 September 2020  5:39 PM,3 mins 11 secs,10.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  11:13 AM,24 September 2020  11:17 AM,4 mins 22 secs,10.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  5:55 PM,24 September 2020  6:05 PM,10 mins 16 secs,4.92,0.50,0.67,0.75,0.0,0.0,0.00,0.00,1.0,1.0,1.0
Finished,24 September 2020  9:24 AM,24 September 2020  9:36 AM,12 mins 4 secs,5.58,1.00,0.33,0.25,1.0,0.0,0.00,1.00,1.0,0.0,1.0
Finished,24 September 2020  5:11 PM,24 September 2020  5:21 PM,9 mins 59 secs,7.75,1.00,1.00,0.75,1.0,1.0,0.00,1.00,0.0,1.0,1.0
Finished,24 September 2020  3:57 PM,24 September 2020  4:08 PM,10 mins 44 secs,9.5,0.50,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  5:44 PM,24 September 2020  5:58 PM,13 mins 15 secs,10.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  3:32 PM,24 September 2020  3:50 PM,17 mins 57 secs,10.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  11:30 AM,24 September 2020  11:35 AM,5 mins 2 secs,9.75,1.00,1.00,0.75,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  5:27 PM,24 September 2020  5:33 PM,6 mins 25 secs,10.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  4:49 PM,24 September 2020  4:56 PM,7 mins 6 secs,9.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,0.0,1.0,1.0
Finished,23 September 2020  2:17 PM,23 September 2020  2:18 PM,1 min 56 secs,5.92,0.50,0.67,0.75,0.0,1.0,0.00,1.00,1.0,0.0,1.0
Finished,24 September 2020  1:26 PM,24 September 2020  1:37 PM,10 mins 38 secs,9.67,1.00,0.67,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  4:59 PM,24 September 2020  5:03 PM,3 mins 31 secs,9.67,1.00,0.67,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,23 September 2020  12:17 AM,23 September 2020  12:26 AM,9 mins 36 secs,7.42,1.00,0.67,0.75,1.0,0.0,0.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  4:47 PM,24 September 2020  4:52 PM,4 mins 30 secs,10.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  1:35 PM,24 September 2020  1:37 PM,2 mins 43 secs,9.33,1.00,0.33,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  5:10 PM,24 September 2020  5:16 PM,5 mins 45 secs,5.92,0.50,0.67,0.75,0.0,1.0,0.00,1.00,1.0,0.0,1.0
Finished,24 September 2020  4:26 PM,24 September 2020  4:35 PM,9 mins 56 secs,7.33,1.00,0.33,1.0,1.0,1.0,1.00,0.00,1.0,0.0,1.0
Finished,24 September 2020  5:37 PM,24 September 2020  5:40 PM,3 mins 32 secs,10.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,23 September 2020  4:56 PM,23 September 2020  5:12 PM,15 mins 50 secs,7.92,0.50,0.67,0.75,1.0,1.0,0.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  2:53 PM,24 September 2020  2:56 PM,2 mins 44 secs,9.5,0.50,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  4:11 PM,24 September 2020  4:30 PM,18 mins 42 secs,10.0,1.00,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
Finished,24 September 2020  1:30 AM,24 September 2020  1:47 AM,17 mins 35 secs,9.5,0.50,1.00,1.0,1.0,1.0,1.00,1.00,1.0,1.0,1.0
